"Measure","Time","Ethnicity","Ethnicity_type","Role_Type","Broad_grade","Grade","Entry_level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","0.7","91"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","N/A","595"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","91.1","12550"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","N/A","7495"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","3.3","235"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","1.9","138"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","0.4","28"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","1.1","80"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","0.6","45"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","N/A","319"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","92.7","6650"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","N/A","3635"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","2.9","98"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","1.5","51"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.4","14"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.9","31"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.5","17"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","N/A","238"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","93.8","3186"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","N/A","1203"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","3.8","42"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","1.3","15"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","0.2","2"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","1.3","15"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","0.3","3"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","N/A","90"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","93.1","1036"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","N/A","17962"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","6.1","1007"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","5.1","845"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","0.5","80"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","1.5","246"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","1.4","237"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","N/A","1403"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","85.4","14144"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","All","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","N/A","1878"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Asian","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","2.8","48"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Black","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.9","15"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Chinese","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.1","2"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Mixed","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.6","10"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Other","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.2","4"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","Unknown","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","N/A","186"
"Percentage of NHS staff in NHS trusts and CCGs","March 2015","White","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","95.3","1613"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","All grades","All grades","All","N/A","1056530"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","All grades","All grades","All","6.8","68870"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","All grades","All grades","All","5.7","57527"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","All grades","All grades","All","0.3","3525"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","All grades","All grades","All","1.4","13842"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","All grades","All grades","All","1.8","17839"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","All grades","All grades","All","N/A","43046"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","All grades","All grades","All","84.1","851881"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","N/A","35814"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","7.9","2706"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","6.2","2122"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","0.2","73"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","1.4","489"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","2.1","705"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","N/A","1570"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","82.2","28149"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","N/A","182213"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","6.8","11918"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","5.7","9899"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","0.2","332"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","1.4","2465"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","1.8","3180"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","N/A","7548"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","84.1","146871"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","N/A","140363"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","5.3","7158"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","5.8","7775"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","0.2","261"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","1.4","1887"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","1.1","1502"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","N/A","5314"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","86.2","116466"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","N/A","90553"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","5.4","4711"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","4.4","3870"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","0.2","212"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","1.4","1193"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","0.9","786"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","N/A","3360"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Support Roles","Band 4","Non-Graduate","87.6","76421"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","N/A","232975"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","9.6","21306"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","7.4","16404"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","0.4","848"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","1.5","3358"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","2.8","6124"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","N/A","10431"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Middle Roles","Band 5","Graduate","78.4","174504"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","N/A","190790"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","6.4","11805"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","5.7","10500"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","0.4","819"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","1.3","2392"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","2","3615"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","N/A","7462"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Middle Roles","Band 6","Graduate","84.1","154197"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","N/A","111767"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","5.3","5680"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","4.4","4765"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","0.6","631"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","1.2","1244"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","1.3","1350"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","N/A","3924"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Middle Roles","Band 7","Graduate","87.3","94173"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","N/A","36854"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","5.6","1976"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","3.4","1196"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","0.6","215"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","1.2","439"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","0.9","309"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","N/A","1289"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Senior Roles","Band 8a","Graduate","88.4","31430"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","N/A","14687"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","4.5","632"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","2.6","366"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","0.5","75"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","1","143"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","0.7","94"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","N/A","554"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Senior Roles","Band 8b","Graduate","90.7","12823"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","N/A","7729"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","3.7","277"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","2.1","154"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","0.4","33"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","1.1","84"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","0.6","44"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","N/A","299"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Senior Roles","Band 8c","Graduate","92","6838"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","N/A","3665"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","2.8","97"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","1.6","57"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.4","15"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.9","30"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","0.4","14"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","N/A","205"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Senior Roles","Band 8d","Graduate","93.8","3247"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","N/A","1294"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","4.2","51"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","1.7","21"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","0.3","4"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","1","12"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","0.5","6"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","N/A","80"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Senior Roles","Band 9","Graduate","92.3","1120"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","N/A","13226"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","6.6","803"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","4.9","597"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","0.2","25"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","1.4","172"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","1.2","148"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","N/A","1088"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Other grades","Non AfC Grade","Unspecified","85.6","10393"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","All","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","N/A","1963"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Asian","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","3.4","61"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Black","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","1","18"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Chinese","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.2","4"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Mixed","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.8","14"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Other","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","0.3","6"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","Unknown","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","N/A","184"
"Percentage of NHS staff in NHS trusts and CCGs","March 2016","White","ONS 6+1","Non-Medical","Very Senior Manager","Very Senior Manager","Graduate","94.2","1676"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","All","ONS 6+1","Non-Medical","All grades","All grades","All","N/A","1076441"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Asian","ONS 6+1","Non-Medical","All grades","All grades","All","7.2","74600"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Black","ONS 6+1","Non-Medical","All grades","All grades","All","5.8","60229"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Chinese","ONS 6+1","Non-Medical","All grades","All grades","All","0.3","3553"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Mixed","ONS 6+1","Non-Medical","All grades","All grades","All","1.4","14826"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Other","ONS 6+1","Non-Medical","All grades","All grades","All","1.8","18853"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Unknown","ONS 6+1","Non-Medical","All grades","All grades","All","N/A","43140"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","White","ONS 6+1","Non-Medical","All grades","All grades","All","83.3","861240"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","All","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","N/A","34972"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Asian","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","8.9","2971"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Black","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","6.5","2191"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","0.2","68"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","1.5","516"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Other","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","2.1","710"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","N/A","1473"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","White","ONS 6+1","Non-Medical","Support Roles","Band 1","Non-Graduate","80.7","27043"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","All","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","N/A","184642"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Asian","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","7.4","13092"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Black","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","6","10562"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Chinese","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","0.2","321"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Mixed","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","1.5","2664"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Other","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","1.9","3354"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Unknown","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","N/A","7504"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","White","ONS 6+1","Non-Medical","Support Roles","Band 2","Non-Graduate","83.1","147145"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","All","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","N/A","144660"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Asian","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","5.7","7896"
"Percentage of NHS staff in NHS trusts and CCGs","March 2017","Black","ONS 6+1","Non-Medical","Support Roles","Band 3","Non-Graduate","6","8368"
